WBGeneID,class
WBGene00000007,ClassA
WBGene00000008,ClassA
WBGene00000064,ClassD
WBGene00000067,ClassC
WBGene00000081,ClassA
WBGene00000107,ClassA
WBGene00000136,ClassA
WBGene00000172,ClassB
WBGene00000212,ClassB
WBGene00000214,ClassA
WBGene00000215,ClassA
WBGene00000216,ClassB
WBGene00000218,ClassA
WBGene00000219,ClassB
WBGene00000264,ClassD
WBGene00000274,ClassD
WBGene00000294,ClassD
WBGene00000302,ClassA
WBGene00000515,ClassA
WBGene00000522,ClassD
WBGene00000541,ClassB
WBGene00000562,ClassD
WBGene00000652,ClassC
WBGene00000781,ClassD
WBGene00000783,ClassC
WBGene00000784,ClassB
WBGene00000786,ClassA
WBGene00000789,ClassA
WBGene00000793,ClassA
WBGene00000802,ClassD
WBGene00000885,ClassD
WBGene00000966,ClassA
WBGene00000971,ClassA
WBGene00000977,ClassA
WBGene00001046,ClassD
WBGene00001099,ClassB
WBGene00001137,ClassC
WBGene00001149,ClassC
WBGene00001157,ClassA
WBGene00001158,ClassC
WBGene00001163,ClassA
WBGene00001243,ClassB
WBGene00001247,ClassC
WBGene00001413,ClassD
WBGene00001468,ClassB
WBGene00001500,ClassB
WBGene00001501,ClassC
WBGene00001506,ClassC
WBGene00001578,ClassB
WBGene00001581,ClassB
WBGene00001597,ClassD
WBGene00001638,ClassC
WBGene00001663,ClassA
WBGene00001670,ClassA
WBGene00001681,ClassA
WBGene00001745,ClassA
WBGene00001749,ClassD
WBGene00001754,ClassA
WBGene00001758,ClassA
WBGene00001770,ClassC
WBGene00001774,ClassA
WBGene00001784,ClassC
WBGene00001786,ClassA
WBGene00001794,ClassD
WBGene00001795,ClassB
WBGene00001814,ClassA
WBGene00001819,ClassA
WBGene00001863,ClassD
WBGene00001898,ClassA
WBGene00001994,ClassA
WBGene00002005,ClassD
WBGene00002016,ClassD
WBGene00002021,ClassD
WBGene00002025,ClassA
WBGene00002032,ClassD
WBGene00002038,ClassC
WBGene00002041,ClassC
WBGene00002043,ClassC
WBGene00002054,ClassB
WBGene00002055,ClassB
WBGene00002057,ClassB
WBGene00002058,ClassB
WBGene00002068,ClassD
WBGene00002073,ClassD
WBGene00002094,ClassC
WBGene00002095,ClassB
WBGene00002118,ClassA
WBGene00002137,ClassB
WBGene00002188,ClassA
WBGene00002234,ClassB
WBGene00002255,ClassD
WBGene00002259,ClassA
WBGene00002260,ClassC
WBGene00002263,ClassD
WBGene00002264,ClassD
WBGene00002269,ClassD
WBGene00002271,ClassD
WBGene00002273,ClassC
WBGene00002274,ClassC
WBGene00002275,ClassD
WBGene00002276,ClassD
WBGene00002280,ClassD
WBGene00002299,ClassA
WBGene00002497,ClassD
WBGene00002915,ClassA
WBGene00003056,ClassC
WBGene00003090,ClassA
WBGene00003091,ClassB
WBGene00003093,ClassA
WBGene00003096,ClassA
WBGene00003097,ClassC
WBGene00003106,ClassA
WBGene00003174,ClassA
WBGene00003243,ClassD
WBGene00003402,ClassA
WBGene00003409,ClassA
WBGene00003411,ClassB
WBGene00003473,ClassA
WBGene00003474,ClassA
WBGene00003497,ClassA
WBGene00003511,ClassD
WBGene00003547,ClassA
WBGene00003559,ClassA
WBGene00003561,ClassC
WBGene00003572,ClassB
WBGene00003607,ClassB
WBGene00003621,ClassB
WBGene00003648,ClassD
WBGene00003678,ClassA
WBGene00003689,ClassB
WBGene00003698,ClassA
WBGene00003711,ClassA
WBGene00003727,ClassC
WBGene00003730,ClassB
WBGene00003734,ClassA
WBGene00003773,ClassB
WBGene00003786,ClassB
WBGene00003813,ClassA
WBGene00003815,ClassD
WBGene00003828,ClassA
WBGene00003840,ClassA
WBGene00003845,ClassC
WBGene00003877,ClassB
WBGene00003903,ClassA
WBGene00003943,ClassC
WBGene00003956,ClassB
WBGene00003957,ClassA
WBGene00003958,ClassB
WBGene00003959,ClassC
WBGene00003964,ClassC
WBGene00003965,ClassA
WBGene00003995,ClassC
WBGene00003998,ClassD
WBGene00004000,ClassD
WBGene00004017,ClassC
WBGene00004020,ClassB
WBGene00004038,ClassA
WBGene00004058,ClassB
WBGene00004059,ClassA
WBGene00004076,ClassA
WBGene00004096,ClassC
WBGene00004128,ClassA
WBGene00004149,ClassC
WBGene00004153,ClassD
WBGene00004169,ClassC
WBGene00004191,ClassA
WBGene00004197,ClassA
WBGene00004235,ClassD
WBGene00004238,ClassD
WBGene00004297,ClassD
WBGene00004358,ClassA
WBGene00004373,ClassD
WBGene00004395,ClassA
WBGene00004400,ClassD
WBGene00004401,ClassA
WBGene00004506,ClassD
WBGene00004737,ClassD
WBGene00004789,ClassB
WBGene00004796,ClassB
WBGene00004798,ClassD
WBGene00004809,ClassC
WBGene00004859,ClassC
WBGene00004875,ClassA
WBGene00004876,ClassD
WBGene00004878,ClassA
WBGene00004890,ClassB
WBGene00004898,ClassC
WBGene00004922,ClassC
WBGene00004979,ClassD
WBGene00004981,ClassC
WBGene00004985,ClassD
WBGene00004986,ClassA
WBGene00004988,ClassB
WBGene00004990,ClassA
WBGene00004991,ClassA
WBGene00004993,ClassA
WBGene00004999,ClassA
WBGene00005002,ClassA
WBGene00005003,ClassB
WBGene00005657,ClassC
WBGene00005703,ClassA
WBGene00006016,ClassB
WBGene00006224,ClassC
WBGene00006372,ClassD
WBGene00006431,ClassB
WBGene00006454,ClassA
WBGene00006464,ClassB
WBGene00006470,ClassC
WBGene00006533,ClassC
WBGene00006609,ClassB
WBGene00006617,ClassC
WBGene00006628,ClassD
WBGene00006635,ClassA
WBGene00006760,ClassD
WBGene00006794,ClassD
WBGene00006820,ClassA
WBGene00006823,ClassD
WBGene00006915,ClassB
WBGene00006923,ClassD
WBGene00006940,ClassD
WBGene00006942,ClassC
WBGene00007030,ClassA
WBGene00007073,ClassC
WBGene00007112,ClassA
WBGene00007131,ClassC
WBGene00007139,ClassD
WBGene00007153,ClassB
WBGene00007180,ClassD
WBGene00007220,ClassA
WBGene00007228,ClassA
WBGene00007248,ClassC
WBGene00007275,ClassA
WBGene00007331,ClassA
WBGene00007352,ClassC
WBGene00007366,ClassD
WBGene00007368,ClassC
WBGene00007372,ClassC
WBGene00007394,ClassA
WBGene00007404,ClassA
WBGene00007422,ClassA
WBGene00007430,ClassA
WBGene00007440,ClassC
WBGene00007455,ClassA
WBGene00007557,ClassB
WBGene00007558,ClassB
WBGene00007599,ClassA
WBGene00007605,ClassB
WBGene00007609,ClassA
WBGene00007650,ClassA
WBGene00007655,ClassC
WBGene00007656,ClassC
WBGene00007672,ClassB
WBGene00007689,ClassC
WBGene00007692,ClassA
WBGene00007693,ClassA
WBGene00007694,ClassC
WBGene00007695,ClassB
WBGene00007725,ClassB
WBGene00007748,ClassB
WBGene00007807,ClassB
WBGene00007810,ClassA
WBGene00007811,ClassA
WBGene00007817,ClassD
WBGene00007833,ClassC
WBGene00007840,ClassB
WBGene00007857,ClassB
WBGene00007867,ClassA
WBGene00007885,ClassC
WBGene00007904,ClassA
WBGene00007909,ClassA
WBGene00007923,ClassC
WBGene00007928,ClassC
WBGene00007946,ClassA
WBGene00008042,ClassA
WBGene00008043,ClassA
WBGene00008091,ClassC
WBGene00008102,ClassC
WBGene00008123,ClassB
WBGene00008167,ClassB
WBGene00008194,ClassB
WBGene00008199,ClassC
WBGene00008200,ClassB
WBGene00008220,ClassB
WBGene00008228,ClassD
WBGene00008229,ClassB
WBGene00008239,ClassB
WBGene00008246,ClassB
WBGene00008251,ClassA
WBGene00008255,ClassC
WBGene00008265,ClassC
WBGene00008273,ClassB
WBGene00008296,ClassC
WBGene00008319,ClassC
WBGene00008341,ClassB
WBGene00008354,ClassA
WBGene00008359,ClassA
WBGene00008372,ClassC
WBGene00008422,ClassD
WBGene00008425,ClassA
WBGene00008477,ClassA
WBGene00008485,ClassC
WBGene00008486,ClassC
WBGene00008492,ClassB
WBGene00008495,ClassA
WBGene00008499,ClassB
WBGene00008542,ClassA
WBGene00008572,ClassD
WBGene00008584,ClassA
WBGene00008594,ClassA
WBGene00008596,ClassA
WBGene00008597,ClassA
WBGene00008599,ClassC
WBGene00008602,ClassC
WBGene00008607,ClassB
WBGene00008654,ClassB
WBGene00008669,ClassA
WBGene00008692,ClassB
WBGene00008726,ClassD
WBGene00008731,ClassB
WBGene00008741,ClassB
WBGene00008774,ClassB
WBGene00008779,ClassD
WBGene00008780,ClassD
WBGene00008793,ClassA
WBGene00008831,ClassD
WBGene00008848,ClassC
WBGene00008849,ClassC
WBGene00008891,ClassC
WBGene00008900,ClassA
WBGene00008922,ClassD
WBGene00008944,ClassD
WBGene00008945,ClassB
WBGene00008954,ClassB
WBGene00008988,ClassD
WBGene00009008,ClassC
WBGene00009061,ClassC
WBGene00009093,ClassC
WBGene00009101,ClassC
WBGene00009102,ClassC
WBGene00009162,ClassC
WBGene00009226,ClassA
WBGene00009237,ClassA
WBGene00009242,ClassA
WBGene00009257,ClassA
WBGene00009259,ClassC
WBGene00009291,ClassA
WBGene00009293,ClassD
WBGene00009337,ClassD
WBGene00009347,ClassA
WBGene00009385,ClassD
WBGene00009389,ClassB
WBGene00009393,ClassC
WBGene00009394,ClassB
WBGene00009403,ClassC
WBGene00009429,ClassD
WBGene00009432,ClassC
WBGene00009433,ClassC
WBGene00009483,ClassB
WBGene00009488,ClassA
WBGene00009515,ClassA
WBGene00009560,ClassA
WBGene00009571,ClassA
WBGene00009595,ClassC
WBGene00009773,ClassA
WBGene00009777,ClassB
WBGene00009798,ClassC
WBGene00009835,ClassB
WBGene00009836,ClassA
WBGene00009854,ClassA
WBGene00009877,ClassA
WBGene00009886,ClassC
WBGene00009895,ClassA
WBGene00009897,ClassC
WBGene00009902,ClassC
WBGene00009908,ClassA
WBGene00009914,ClassC
WBGene00009957,ClassD
WBGene00010006,ClassD
WBGene00010041,ClassC
WBGene00010047,ClassC
WBGene00010049,ClassB
WBGene00010070,ClassB
WBGene00010072,ClassA
WBGene00010086,ClassB
WBGene00010116,ClassA
WBGene00010117,ClassC
WBGene00010123,ClassA
WBGene00010124,ClassA
WBGene00010125,ClassA
WBGene00010128,ClassA
WBGene00010133,ClassA
WBGene00010134,ClassB
WBGene00010150,ClassA
WBGene00010204,ClassB
WBGene00010214,ClassB
WBGene00010215,ClassB
WBGene00010238,ClassA
WBGene00010244,ClassA
WBGene00010266,ClassC
WBGene00010274,ClassA
WBGene00010289,ClassC
WBGene00010293,ClassC
WBGene00010328,ClassC
WBGene00010334,ClassB
WBGene00010340,ClassC
WBGene00010341,ClassC
WBGene00010342,ClassA
WBGene00010357,ClassC
WBGene00010383,ClassB
WBGene00010426,ClassC
WBGene00010456,ClassA
WBGene00010589,ClassC
WBGene00010605,ClassC
WBGene00010641,ClassC
WBGene00010657,ClassB
WBGene00010658,ClassD
WBGene00010659,ClassA
WBGene00010660,ClassC
WBGene00010664,ClassD
WBGene00010684,ClassA
WBGene00010745,ClassA
WBGene00010746,ClassA
WBGene00010747,ClassC
WBGene00010749,ClassA
WBGene00010750,ClassB
WBGene00010759,ClassD
WBGene00010769,ClassA
WBGene00010774,ClassB
WBGene00010784,ClassA
WBGene00010787,ClassD
WBGene00010822,ClassB
WBGene00010828,ClassC
WBGene00010870,ClassC
WBGene00010897,ClassC
WBGene00010899,ClassD
WBGene00010925,ClassB
WBGene00010977,ClassC
WBGene00010994,ClassD
WBGene00011006,ClassA
WBGene00011076,ClassA
WBGene00011083,ClassB
WBGene00011094,ClassA
WBGene00011102,ClassA
WBGene00011167,ClassA
WBGene00011181,ClassA
WBGene00011182,ClassB
WBGene00011207,ClassB
WBGene00011212,ClassA
WBGene00011217,ClassA
WBGene00011222,ClassA
WBGene00011262,ClassA
WBGene00011268,ClassD
WBGene00011292,ClassD
WBGene00011321,ClassA
WBGene00011330,ClassB
WBGene00011364,ClassB
WBGene00011374,ClassA
WBGene00011399,ClassC
WBGene00011423,ClassC
WBGene00011427,ClassC
WBGene00011430,ClassA
WBGene00011437,ClassA
WBGene00011480,ClassC
WBGene00011487,ClassA
WBGene00011495,ClassA
WBGene00011524,ClassD
WBGene00011571,ClassD
WBGene00011578,ClassA
WBGene00011638,ClassC
WBGene00011672,ClassD
WBGene00011725,ClassC
WBGene00011733,ClassA
WBGene00011737,ClassC
WBGene00011756,ClassD
WBGene00011801,ClassA
WBGene00011803,ClassA
WBGene00011821,ClassB
WBGene00011835,ClassC
WBGene00011844,ClassC
WBGene00011852,ClassB
WBGene00011853,ClassC
WBGene00011893,ClassA
WBGene00011932,ClassC
WBGene00011936,ClassA
WBGene00012017,ClassC
WBGene00012018,ClassB
WBGene00012070,ClassA
WBGene00012101,ClassC
WBGene00012144,ClassC
WBGene00012162,ClassC
WBGene00012182,ClassD
WBGene00012201,ClassA
WBGene00012241,ClassD
WBGene00012251,ClassA
WBGene00012253,ClassA
WBGene00012295,ClassC
WBGene00012319,ClassC
WBGene00012323,ClassC
WBGene00012332,ClassA
WBGene00012360,ClassD
WBGene00012387,ClassC
WBGene00012404,ClassA
WBGene00012407,ClassA
WBGene00012445,ClassB
WBGene00012464,ClassC
WBGene00012467,ClassC
WBGene00012472,ClassD
WBGene00012518,ClassC
WBGene00012525,ClassC
WBGene00012529,ClassB
WBGene00012531,ClassB
WBGene00012533,ClassA
WBGene00012582,ClassB
WBGene00012629,ClassC
WBGene00012634,ClassD
WBGene00012664,ClassC
WBGene00012668,ClassD
WBGene00012699,ClassB
WBGene00012782,ClassB
WBGene00012791,ClassD
WBGene00012802,ClassA
WBGene00012834,ClassA
WBGene00012968,ClassA
WBGene00012970,ClassA
WBGene00012972,ClassD
WBGene00013025,ClassC
WBGene00013037,ClassA
WBGene00013073,ClassC
WBGene00013080,ClassB
WBGene00013101,ClassA
WBGene00013118,ClassB
WBGene00013119,ClassB
WBGene00013167,ClassA
WBGene00013189,ClassD
WBGene00013197,ClassC
WBGene00013207,ClassA
WBGene00013227,ClassB
WBGene00013228,ClassD
WBGene00013257,ClassB
WBGene00013295,ClassC
WBGene00013448,ClassC
WBGene00013484,ClassC
WBGene00013544,ClassA
WBGene00013559,ClassC
WBGene00013567,ClassD
WBGene00013602,ClassD
WBGene00013637,ClassB
WBGene00013650,ClassA
WBGene00013716,ClassB
WBGene00013750,ClassA
WBGene00013822,ClassB
WBGene00013836,ClassC
WBGene00013837,ClassC
WBGene00013874,ClassA
WBGene00013900,ClassB
WBGene00013901,ClassB
WBGene00013906,ClassA
WBGene00013947,ClassD
WBGene00013976,ClassA
WBGene00013996,ClassB
WBGene00014057,ClassB
WBGene00014063,ClassA
WBGene00014106,ClassC
WBGene00014136,ClassB
WBGene00014137,ClassC
WBGene00014138,ClassA
WBGene00014164,ClassC
WBGene00014193,ClassC
WBGene00014194,ClassC
WBGene00014252,ClassA
WBGene00014669,ClassB
WBGene00015047,ClassA
WBGene00015048,ClassC
WBGene00015050,ClassB
WBGene00015110,ClassB
WBGene00015116,ClassA
WBGene00015119,ClassC
WBGene00015206,ClassC
WBGene00015220,ClassC
WBGene00015279,ClassA
WBGene00015284,ClassB
WBGene00015338,ClassA
WBGene00015342,ClassA
WBGene00015362,ClassD
WBGene00015400,ClassB
WBGene00015403,ClassA
WBGene00015469,ClassA
WBGene00015471,ClassB
WBGene00015561,ClassC
WBGene00015565,ClassA
WBGene00015598,ClassC
WBGene00015602,ClassB
WBGene00015605,ClassD
WBGene00015608,ClassB
WBGene00015677,ClassD
WBGene00015687,ClassD
WBGene00015693,ClassD
WBGene00015695,ClassD
WBGene00015701,ClassC
WBGene00015713,ClassB
WBGene00015728,ClassA
WBGene00015759,ClassA
WBGene00015768,ClassA
WBGene00015783,ClassA
WBGene00015784,ClassA
WBGene00015789,ClassA
WBGene00015800,ClassD
WBGene00015823,ClassD
WBGene00015829,ClassC
WBGene00015889,ClassA
WBGene00015913,ClassB
WBGene00015928,ClassC
WBGene00015933,ClassA
WBGene00015947,ClassC
WBGene00015955,ClassD
WBGene00015956,ClassB
WBGene00015988,ClassD
WBGene00016004,ClassB
WBGene00016027,ClassA
WBGene00016048,ClassA
WBGene00016052,ClassA
WBGene00016061,ClassB
WBGene00016064,ClassC
